for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_residential,reported_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,auur_filing_received,aaur_sufficient
174,1134,GRANT AV,0162 013 01,20,0,21,0,0,0,21,Yes,Yes
175,1226,GRANT AV,0145 015 01,40,0,40,0,0,0,40,Yes,Yes
176,1232,GRANT AV,0145 030,10,0,10,0,0,0,10,Yes,Yes
177,1327,GRANT AV,0131 005 01,15,0,15,0,0,0,15,Yes,Yes
178,517,GREEN ST,0131 024 01,20,0,0,0,0,0,20,Yes,Yes
179,465,GROVE ST,0808 043 01,5,36,1,26,4,10,41,Yes,Yes
180,492,GROVE ST,0793 019 01,18,0,18,0,0,0,18,Yes,Yes
181,1200,HAIGHT ST,1234 005 01,14,0,13,0,1,0,14,Yes,Yes
182,995,HOWARD ST,3732 124 01,50,2,49,0,3,0,52,Yes,Yes
183,1554,HOWARD ST,3511 018 01,35,0,35,0,0,0,35,Yes,Yes
184,120,HYDE ST,0345 009 01,32,0,24,0,8,0,32,Yes,No
185,1369,HYDE ST,0217 025 01,13,0,13,0,0,0,13,Yes,Yes
186,1531,HYDE ST,0185 005 01,18,0,18,0,0,0,18,Yes,Yes
187,617,JACKSON ST,0194 033 01,8,0,3,5,0,0,8,Yes,No
188,624,JACKSON ST,0177 005 01,12,0,12,0,0,0,12,Yes,Yes
189,629,JACKSON ST,0194 032 01,9,0,5,0,4,0,9,Yes,Yes
190,706,JACKSON ST,0178 003 01,83,0,83,0,0,0,83,Yes,Yes
191,840,JACKSON ST,0179 013 01,15,0,15,0,0,0,15,Yes,Yes
192,912,JACKSON ST,0180 007 01,23,0,23,0,0,0,23,Yes,Yes
193,344,JONES ST,0332 010 01,59,11,31,3,28,8,70,Yes,Yes
194,439,JONES ST,0323 002 01,28,17,16,16,12,1,45,Yes,Yes
195,450,JONES ST,0324 014 01,18,0,17,0,1,0,18,Yes,Yes
196,515,JONES ST,0318 006 01,17,0,12,0,5,0,17,Yes,Yes
197,545,JONES ST,0318 002 01,36,11,28,6,8,5,47,Yes,No
198,556,JONES ST,0317 014 01,40,0,40,0,0,0,40,Yes,No
199,620,JONES ST,0305 036 01,171,0,161,0,10,0,171,Yes,Yes
200,642,JONES ST,0305 016 01,48,3,NA,NA,NA,NA,NA,No,No
201,649,JONES ST,0304 002 01,25,0,10,0,17,0,27,Yes,No
202,700,JONES ST,0298 014 01,25,0,20,0,5,0,25,Yes,Yes
203,720,JONES ST,0298 025 01,6,0,6,0,0,0,6,Yes,Yes
204,1155,JONES ST,0247 001 01,6,0,5,0,1,0,5,Yes,Yes
205,179,JULIAN AV,3554 040 01,27,0,16,0,11,0,27,Yes,Yes
206,649,KEARNY ST,0226 001 01,19,0,13,0,6,0,19,Yes,Yes
207,706,KEARNY ST,0208 011 01,36,0,NA,NA,NA,NA,NA,Yes,No
208,712,KEARNY ST,0208 012 01,18,0,19,0,0,0,19,Yes,Yes
209,833,KEARNY ST,0194 003 01,44,0,47,0,0,0,47,Yes,Yes
210,901,KEARNY ST,0177 002 01,42,0,40,0,2,0,42,Yes,Yes
211,935,KEARNY ST,0177 001 01,128,21,73,20,55,1,149,Yes,Yes
212,633,LARKIN ST,0740 005 01,3,11,1,7,2,4,14,Yes,Yes
213,664,LARKIN ST,0335 015 01,12,0,9,0,3,0,12,Yes,Yes
214,1005,LARKIN ST,0692 004 01,7,0,7,0,0,0,7,No,Yes
215,1008,LARKIN ST,0301 014 01,22,7,29,0,0,0,29,Yes,No
216,1048,LARKIN ST,0301 016 01,36,0,22,0,13,0,35,Yes,No
217,1105,LARKIN ST,0669 005 01,92,0,NA,NA,NA,NA,NA,Yes,No
218,1430,LARKIN ST,0249 017 01,20,0,0,0,0,0,0,Yes,No
219,161,LEAVENWORTH ST,0345 001 01,22,13,31,0,0,4,35,Yes,Yes
220,201,LEAVENWORTH ST,0337 006 01,55,0,54,0,0,0,56,Yes,Yes
221,335,LEAVENWORTH ST,0334 003 01,19,14,NA,NA,NA,NA,NA,No,No
222,711,LEAVENWORTH ST,0300 003B 01,7,0,7,0,0,0,7,Yes,No
223,2524,LOMBARD ST,0935 003 01,38,9,42,0,0,5,47,Yes,Yes
224,363,LYON ST,1207 001 01,6,0,NA,NA,NA,NA,NA,Yes,No
225,2901,MARIPOSA ST,4019 001 01,46,0,46,0,0,0,46,Yes,Yes
226,1139,MARKET ST,3702 045 01,31,63,23,4,8,59,94,Yes,Yes
227,1272,MARKET ST,0355 009 01,40,17,38,14,2,3,57,Yes,Yes
228,1278,MARKET ST,0355 010 01,62,18,61,18,1,0,80,Yes,Yes
229,1412,MARKET ST,0835 001 01,15,105,0,2,15,103,120,Yes,Yes
230,1657,MARKET ST,3504 046 01,19,35,NA,NA,NA,NA,NA,Yes,No
231,1751,MARKET ST,3503 003 01,9,0,8,0,1,0,9,Yes,Yes
232,1876,MARKET ST,0871 005 01,26,4,32,0,0,0,32,Yes,Yes
