for_profit_hotel_id,address_number,address_street,block_lot,cofu_residential,cofu_tourist,reported_occupied_residential,reported_occupied_tourist,vacant_residential,vacant_tourist,total_reported_hotel_units,average_rent_dollars,aaur_filing_received,aaur_sufficient
23,226,06TH ST,3731 003 01,11,30,11,30,5,0,41,20,TRUE,TRUE
24,219,07TH ST,3731 041,22,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
25,80,09TH ST,3508 018 01,21,6,11,4,10,2,27,1100,TRUE,TRUE
26,81,09TH ST,3701 023 01,20,0,20,0,NA,0,20,1441,TRUE,TRUE
27,205,09TH ST,3729 082 01,32,0,9,0,23,0,32,492.28,TRUE,TRUE
28,251,09TH ST,3729 057 01,16,4,NA,NA,NA,NA,NA,NA,TRUE,FALSE
29,120,10TH ST,3510 059 01,8,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
30,311,11TH AV,1443 001 01,14,0,14,0,0,0,14,511.47,TRUE,TRUE
31,20,12TH ST,3505 001 01,71,85,NA,NA,NA,NA,NA,NA,FALSE,FALSE
32,215,14TH ST,3548 088 01,13,0,13,0,0,0,13,800,TRUE,TRUE
33,3032,16TH ST,3554 012 01,18,3,NA,NA,NA,NA,NA,NA,FALSE,FALSE
34,3061,16TH ST,3569 078 01,20,5,0,0,20,5,25,0,TRUE,TRUE
35,3143,16TH ST,3568 064 02,20,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
36,3161,16TH ST,3568 061 01,54,0,54,0,0,0,54,760,TRUE,TRUE
37,3444,18TH ST,3576 034 01,14,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
38,3491,20TH ST,3610 029 01,41,0,0,0,1,0,41,1533.13,TRUE,TRUE
39,3562,20TH ST,3596 054 01,22,0,18,0,4,0,22,409.09,TRUE,TRUE
40,3270,21ST ST,3609 023 01,11,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
41,732,22ND ST,4108 020 01,31,0,29,0,1,0,30,1057,TRUE,TRUE
42,3414,25TH ST,6516 009 01,20,0,20,0,0,0,20,484.25,TRUE,FALSE
43,55,30TH ST,6660 044 01,26,0,24,0,2,0,26,500,TRUE,TRUE
44,3429,ANZA ST,1568 028 01,9,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
45,3433,ANZA ST,1568 027 01,9,0,9,0,0,0,9,715.88,TRUE,TRUE
46,949,ASHBURY ST,1269 030 1,9,0,7,0,2,0,9,1148,TRUE,TRUE
47,4740,BALBOA ST,1591 005J 01,10,1,NA,NA,NA,NA,NA,NA,FALSE,FALSE
48,712,BATTERY ST,0166 005 01,11,9,2,0,9,9,11,350,TRUE,TRUE
49,11,BELDEN ST,0269 005 01,105,0,101,0,5,0,106,605.61,TRUE,TRUE
50,371,BROADWAY,0164 018 01,42,0,40,0,2,0,42,558.26,TRUE,TRUE
51,381,BROADWAY,0164 014 01,43,0,39,0,3,0,42,458.77,TRUE,TRUE
52,402,BROADWAY,0144 007 01,82,36,78,30,4,6,118,540,TRUE,TRUE
53,407,BROADWAY,0163 001 01,36,0,35,0,0,0,36,360,TRUE,FALSE
54,438,BROADWAY,0144 011 01,23,7,34,0,0,0,34,344.66,TRUE,TRUE
55,461,BROADWAY,0163 026 01,30,0,30,0,0,0,30,390,TRUE,FALSE
56,517,BROADWAY,0162 025 01,26,0,34,0,0,0,37,700,TRUE,FALSE
57,527,BROADWAY,0162 024 01,17,0,15,0,1,0,16,441.35,TRUE,FALSE
58,554,BROADWAY,0145 011 01,32,0,28,0,4,0,32,630,TRUE,TRUE
59,615,BROADWAY,0161 001 01,52,81,15,25,37,56,133,763.84,TRUE,TRUE
60,636,BROADWAY,0146 005 01,10,0,8,0,2,0,10,650,TRUE,TRUE
61,637,BROADWAY,0161 035 01,42,0,42,0,0,0,42,498.92,TRUE,TRUE
62,660,BROADWAY,0146 007 01,9,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
63,672,BROADWAY,0146 008 01,14,0,14,0,0,0,14,815,TRUE,TRUE
64,673,BROADWAY,0161 031 01,14,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
65,686,BROADWAY,0146 011 01,43,0,47,0,0,0,47,459.21,TRUE,TRUE
66,691,BROADWAY,0161 029 01,30,0,35,0,0,0,35,442.45,TRUE,TRUE
67,700,BROADWAY,0147 005 01,6,0,6,0,0,0,6,742.42,TRUE,TRUE
68,705,BROADWAY,0160 001 01,34,0,32,0,1,0,33,429.35,TRUE,FALSE
69,730,BROADWAY,0147 008A 01,16,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
70,740,BROADWAY,0147 008B 01,57,0,57,0,0,0,57,599.92,TRUE,TRUE
71,754,BROADWAY,0147 011 01,51,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
72,785,BROADWAY,0160 018 01,3,18,21,0,0,0,21,464.36,TRUE,TRUE
73,2136,BRODERICK ST,1001 021 01,20,0,19,0,1,0,20,1655,TRUE,TRUE
74,2148,BRODERICK ST,1001 023 01,17,0,15,0,2,0,17,1494,TRUE,TRUE
75,527,BRYANT ST,3776 098 01,8,0,0,0,8,0,0,0,TRUE,TRUE
76,975,BUSH,0282 012 01,12,82,10,28,2,54,94,1028,TRUE,TRUE
77,447,BUSH ST,0287 020 01,38,13,24,4,14,9,51,1872.66,TRUE,TRUE
78,507,BUSH ST,0286 001 01,40,18,17,7,21,11,56,2449,TRUE,TRUE
79,510,BUSH ST,0271 005 01,79,13,20,7,50,6,83,1315.6,TRUE,FALSE
80,625,BUSH ST,0285 018 01,13,0,13,0,0,0,13,991.43,TRUE,TRUE
81,698,BUSH ST,0272 008 01,17,0,16,0,1,0,17,533.87,TRUE,TRUE
82,753,BUSH ST,0284 020 01,14,62,12,47,2,15,76,770.7,TRUE,TRUE
83,825,BUSH ST,0283 020 01,11,0,11,0,2,0,11,NA,TRUE,FALSE
84,980,BUSH ST,0275 006 01,10,0,10,0,0,0,10,1394.22,TRUE,TRUE
85,999,BUSH ST,0282 011 01,6,0,6,0,0,0,6,1014.33,TRUE,TRUE
86,1010,BUSH ST,0276 007 01,66,0,59,1,5,0,65,1156.95,TRUE,TRUE
87,1080,BUSH ST,0276 015 01,15,0,15,0,0,0,15,1187,TRUE,TRUE
88,1105,BUSH ST,0280 001 01,16,0,14,0,2,0,16,783.59,TRUE,TRUE
89,1153,BUSH ST,0280 026 01,14,0,15,0,0,0,15,1154,TRUE,TRUE
90,1353,BUSH ST,0669 013 01,18,18,18,17,NA,1,36,917.65,TRUE,TRUE
91,1485,BUSH ST,0670 017 01,13,13,13,13,13,0,26,0,TRUE,TRUE
92,1388,CALIFORNIA ST,0248 014 01,50,19,50,19,0,0,69,32,TRUE,FALSE
93,1499,CALIFORNIA ST,0250 016 01,84,0,59,0,25,0,84,762.1,TRUE,TRUE
94,1507,CALIFORNIA ST,0645 001 01,36,0,NA,NA,39,NA,NA,NA,TRUE,TRUE
95,1544,CALIFORNIA ST,0644 012 01,52,0,46,0,6,0,52,650,TRUE,TRUE
96,3398,CALIFORNIA ST,1020 012 01,20,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
97,182,CARL ST,1267 029 01,11,0,7,0,4,0,11,994,TRUE,TRUE
98,198,CARL ST,1267 030 01,28,0,22,0,6,0,28,1500,TRUE,TRUE
99,640,CLAY ST,0208 008 01,119,3,NA,NA,NA,NA,NA,NA,FALSE,FALSE
100,647,CLAY ST,0227 044 01,22,0,19,0,3,0,22,342.69,TRUE,TRUE
101,668,CLAY ST,0208 010 01,107,0,107,0,28,0,108,563.45,TRUE,FALSE
102,721,CLAY ST,0226 047 01,10,0,6,0,4,0,10,610,TRUE,FALSE
103,731,CLAY ST,0226 046 01,12,0,12,0,0,0,12,578.75,TRUE,TRUE
104,755,CLAY ST,0226 043 01,10,0,10,0,0,0,10,672.5,TRUE,TRUE
105,761,CLAY ST,0226 042 01,12,0,12,0,0,0,12,513.76,TRUE,TRUE
106,777,CLAY ST,0226 041 01,30,0,30,0,0,0,30,379.31,TRUE,TRUE
107,808,CLAY ST,0210 006 01,7,0,7,0,0,0,7,300.43,TRUE,FALSE
108,815,CLAY ST,0225 031 01,14,0,14,0,0,0,14,287.68,TRUE,TRUE
109,817,CLAY ST,0225 030 01,8,0,7,0,0,0,7,566.23,TRUE,FALSE
110,857,CLAY ST,0225 019 01,51,0,49,0,2,0,51,400,TRUE,TRUE
111,870,CLAY ST,0210 012 01,36,0,36,0,0,0,36,543.03,TRUE,FALSE
112,920,CLAY ST,0211 006 01,12,0,12,0,0,0,12,123.33,TRUE,TRUE
113,937,CLAY ST,0224 032 01,68,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
114,1627,CLAY ST,0621 021 01,15,0,0,0,0,0,15,1400,TRUE,FALSE
115,67,COLUMBUS AV,0195 016 01,11,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
116,112,COLUMBUS AV,0176 010 01,99,0,90,0,9,0,99,1217,TRUE,TRUE
117,237,COLUMBUS AV,0162 005 01,34,0,34,0,0,0,34,453.58,TRUE,TRUE
118,301,COLUMBUS AV,0146 002 01,46,0,39,0,7,0,46,505,TRUE,TRUE
119,331,COLUMBUS AV,0146 027 01,12,0,12,0,0,0,12,531.78,TRUE,TRUE
120,354,COLUMBUS AV,0146 001 01,61,0,61,0,0,0,61,475.4,TRUE,TRUE
121,371,COLUMBUS AV,0146 025 01,27,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
122,524,COLUMBUS AV,0117 004 01,44,0,40,0,1,0,44,685,TRUE,TRUE
123,575,COLUMBUS AV,0117 017 01,24,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
124,905,COLUMBUS AV,0065 015 01,74,0,61,0,13,0,74,445.4,TRUE,TRUE
125,688,COMMERCIAL ST,0227 033 01,85,0,85,0,0,0,85,380,TRUE,FALSE
126,21,COOPER AL,0194 029 01,15,0,15,0,0,0,15,125,TRUE,FALSE
127,27,DASHIELL HAMMETT,0272 023 01,34,1,19,0,15,1,35,720,TRUE,TRUE
128,94,DUBOCE AV,3513 022 01,20,0,18,0,0,0,20,698,TRUE,TRUE
129,128,EDDY ST,0331 007 01,35,3,18,3,17,0,38,840.33,TRUE,TRUE
130,395,EDDY ST,0338 017 01,30,6,30,6,0,0,36,325,TRUE,TRUE
131,411,EDDY ST,0337 001 01,22,0,21,0,1,0,22,600,TRUE,TRUE
132,493,EDDY ST,0337 015 01,24,28,NA,NA,NA,NA,NA,NA,FALSE,FALSE
133,587,EDDY ST,0336 014A 01,20,48,0,52,16,0,68,0,TRUE,TRUE
134,640,EDDY ST,0740 010,25,11,25,0,0,11,36,490,TRUE,TRUE
135,140,ELLIS,0326 023 01,77,66,8,78,4,34,124,2560,TRUE,TRUE
136,120,ELLIS ST,0326 005 01,69,0,38,0,31,0,69,632,TRUE,FALSE
137,225,ELLIS ST,0331 001 01,18,0,12,0,3,0,15,1192,TRUE,TRUE
138,376,ELLIS ST,0324 010 01,8,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
139,424,ELLIS ST,0323 007 01,19,0,19,0,0,0,19,863.95,TRUE,TRUE
140,433,ELLIS ST,0333 021 01,32,28,31,11,1,17,60,816,TRUE,TRUE
141,465,ELLIS ST,0333 018 01,50,6,49,0,1,6,56,1e3,TRUE,TRUE
142,710,ELLIS ST,0717 004 01,14,2,14,0,0,2,16,450,TRUE,TRUE
143,719,ELLIS ST,0740 001 01,5,9,5,8,0,1,14,542,TRUE,TRUE
144,725,ELLIS ST,0740 025 01,11,0,11,0,0,0,11,889.63,TRUE,TRUE
145,2,EMERY LN,0130 012 01,28,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
146,171,FELL ST,0834 013 01,11,27,12,7,0,19,38,882,TRUE,TRUE
147,106,FERN ST,0670 004 01,13,0,13,0,0,0,13,NA,TRUE,TRUE
148,3143,FILLMORE ST,0515 005 01,12,0,12,0,0,0,12,1253.67,TRUE,TRUE
149,917,FOLSOM ST,3753 145 01,57,0,35,0,22,0,57,500,TRUE,TRUE
150,1040,FOLSOM ST,3731 019 01,38,10,NA,NA,NA,NA,NA,NA,TRUE,FALSE
151,75,FRESNO ST,0145 016 01,19,0,19,0,0,0,19,482,TRUE,TRUE
152,4330,GEARY BL,1439 020 01,12,0,12,0,0,0,12,980,TRUE,TRUE
153,432,GEARY ST,0306 006 01,61,8,39,6,22,2,69,1750,TRUE,TRUE
154,520,GEARY ST,0305 007 01,38,0,38,0,0,0,38,1280.28,TRUE,TRUE
155,610,GEARY ST,0304 005 01,12,103,1,87,11,16,115,3750,TRUE,TRUE
156,630,GEARY ST,0304 006 01,54,0,54,0,0,0,54,575,TRUE,TRUE
157,676,GEARY ST,0304 009,8,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
158,725,GEARY ST,0319 026 01,15,7,NA,NA,NA,NA,NA,NA,TRUE,FALSE
159,765,GEARY ST,0319 023 01,8,0,8,0,0,0,8,1485,TRUE,TRUE
160,910,GEARY ST,0693 006 01,61,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
161,925,GEARY ST,0716 001A 01,9,0,9,0,0,0,9,1252.56,TRUE,TRUE
162,935,GEARY ST,0716 011 01,114,0,114,0,2,0,116,1100,TRUE,TRUE
163,248,GOLDEN GATE AV,0345 006 01,14,0,13,0,1,0,14,893.88,TRUE,TRUE
164,284,GOLDEN GATE AV,0345 008 01,23,0,20,0,3,0,23,467,TRUE,TRUE
165,378,GOLDEN GATE AV,0346 006 01,11,0,10,0,1,0,11,763.88,TRUE,TRUE
166,828,GRANT,0209 004 01,40,0,40,0,0,0,40,448.93,TRUE,TRUE
167,523,GRANT AV,0257 003 01,10,0,10,0,0,0,10,725,TRUE,TRUE
168,654,GRANT AV,0241 015 01,20,0,20,0,0,0,20,823.18,TRUE,TRUE
169,710,GRANT AV,0226 018 01,44,0,44,0,0,0,44,493.34,TRUE,TRUE
170,861,GRANT AV,0210 001 01,8,0,0,0,8,0,8,0,TRUE,TRUE
171,917,GRANT AV,0193 009 01,14,0,14,0,0,0,14,563.97,TRUE,TRUE
172,924,GRANT AV,0194 014 01,20,0,19,0,1,0,20,583.98,TRUE,FALSE
173,933,GRANT AV,0193 007 01,33,0,46,0,NA,0,48,423,TRUE,TRUE
174,1134,GRANT AV,0162 013 01,20,0,21,0,0,0,21,568.16,TRUE,TRUE
175,1226,GRANT AV,0145 015 01,40,0,40,0,0,0,40,503.1,TRUE,TRUE
176,1232,GRANT AV,0145 030,10,0,10,0,0,0,10,250,TRUE,TRUE
177,1327,GRANT AV,0131 005 01,15,0,15,0,0,0,15,350,TRUE,TRUE
178,517,GREEN ST,0131 024 01,20,0,0,0,0,0,20,892.78,TRUE,TRUE
179,465,GROVE ST,0808 043 01,5,36,1,26,4,10,41,4500,TRUE,TRUE
180,492,GROVE ST,0793 019 01,18,0,18,0,0,0,18,1293.87,TRUE,TRUE
181,1200,HAIGHT ST,1234 005 01,14,0,13,0,1,0,14,1141,TRUE,TRUE
182,995,HOWARD ST,3732 124 01,50,2,49,0,3,0,52,650,TRUE,TRUE
183,1554,HOWARD ST,3511 018 01,35,0,35,0,0,0,35,475,TRUE,TRUE
184,120,HYDE ST,0345 009 01,32,0,24,0,8,0,32,750,TRUE,FALSE
185,1369,HYDE ST,0217 025 01,13,0,13,0,0,0,13,974,TRUE,TRUE
186,1531,HYDE ST,0185 005 01,18,0,18,0,0,0,18,860,TRUE,TRUE
187,617,JACKSON ST,0194 033 01,8,0,3,5,0,0,8,100,TRUE,FALSE
188,624,JACKSON ST,0177 005 01,12,0,12,0,0,0,12,442,TRUE,TRUE
189,629,JACKSON ST,0194 032 01,9,0,5,0,4,0,9,203.13,TRUE,TRUE
190,706,JACKSON ST,0178 003 01,83,0,83,0,0,0,83,473,TRUE,TRUE
191,840,JACKSON ST,0179 013 01,15,0,15,0,0,0,15,375,TRUE,TRUE
192,912,JACKSON ST,0180 007 01,23,0,23,0,0,0,23,567.65,TRUE,TRUE
193,344,JONES ST,0332 010 01,59,11,31,3,28,8,70,74,TRUE,TRUE
194,439,JONES ST,0323 002 01,28,17,16,16,12,1,45,950,TRUE,TRUE
195,450,JONES ST,0324 014 01,18,0,17,0,1,0,18,809.32,TRUE,TRUE
196,515,JONES ST,0318 006 01,17,0,12,0,5,0,17,825,TRUE,TRUE
197,545,JONES ST,0318 002 01,36,11,28,6,8,5,47,879,TRUE,FALSE
198,556,JONES ST,0317 014 01,40,0,40,0,0,0,40,1100,TRUE,FALSE
199,620,JONES ST,0305 036 01,171,0,161,0,10,0,171,1700,TRUE,TRUE
200,642,JONES ST,0305 016 01,48,3,48,0,0,3,51,1350,TRUE,TRUE
201,649,JONES ST,0304 002 01,25,0,10,0,17,0,27,846,TRUE,FALSE
202,700,JONES ST,0298 014 01,25,0,20,0,5,0,25,955,TRUE,TRUE
203,720,JONES ST,0298 025 01,6,0,6,0,0,0,6,1127.75,TRUE,TRUE
204,1155,JONES ST,0247 001 01,6,0,5,0,1,0,5,2402.38,TRUE,TRUE
205,179,JULIAN AV,3554 040 01,27,0,16,0,11,0,27,1400,TRUE,TRUE
206,649,KEARNY ST,0226 001 01,19,0,13,0,6,0,19,352.43,TRUE,TRUE
207,706,KEARNY ST,0208 011 01,36,0,36,0,22,0,36,722.22,TRUE,TRUE
208,712,KEARNY ST,0208 012 01,18,0,19,0,0,0,19,364.08,TRUE,TRUE
209,833,KEARNY ST,0194 003 01,44,0,47,0,0,0,47,524.26,TRUE,TRUE
210,901,KEARNY ST,0177 002 01,42,0,40,0,2,0,42,557.99,TRUE,TRUE
211,935,KEARNY ST,0177 001 01,128,21,73,20,55,1,149,874,TRUE,TRUE
212,633,LARKIN ST,0740 005 01,3,11,1,7,2,4,14,1e3,TRUE,TRUE
213,664,LARKIN ST,0335 015 01,12,0,9,0,3,0,12,500,TRUE,TRUE
214,1005,LARKIN ST,0692 004 01,7,0,7,0,0,0,7,845.5,FALSE,TRUE
215,1008,LARKIN ST,0301 014 01,22,7,29,0,0,0,29,1087,TRUE,FALSE
216,1048,LARKIN ST,0301 016 01,36,0,22,0,13,0,35,1200,TRUE,FALSE
217,1105,LARKIN ST,0669 005 01,92,0,90,0,2,0,92,825,TRUE,TRUE
218,1430,LARKIN ST,0249 017 01,20,0,0,0,0,0,0,607.73,TRUE,FALSE
219,161,LEAVENWORTH ST,0345 001 01,22,13,31,0,0,4,35,600,TRUE,TRUE
220,201,LEAVENWORTH ST,0337 006 01,55,0,54,0,0,0,56,650,TRUE,TRUE
221,335,LEAVENWORTH ST,0334 003 01,19,14,NA,NA,NA,NA,NA,NA,FALSE,FALSE
222,711,LEAVENWORTH ST,0300 003B 01,7,0,7,0,0,0,7,1050,TRUE,TRUE
223,2524,LOMBARD ST,0935 003 01,38,9,42,0,0,5,47,450,TRUE,TRUE
224,363,LYON ST,1207 001 01,6,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
225,2901,MARIPOSA ST,4019 001 01,46,0,46,0,0,0,46,655,TRUE,TRUE
226,1139,MARKET ST,3702 045 01,31,63,23,4,8,59,94,750,TRUE,TRUE
227,1272,MARKET ST,0355 009 01,40,17,38,14,2,3,57,650,TRUE,TRUE
228,1278,MARKET ST,0355 010 01,62,18,61,18,1,0,80,700,TRUE,TRUE
229,1412,MARKET ST,0835 001 01,15,105,0,2,15,103,120,0,TRUE,TRUE
230,1657,MARKET ST,3504 046 01,19,35,44,0,0,10,54,620,TRUE,TRUE
231,1751,MARKET ST,3503 003 01,9,0,8,0,1,0,9,601.77,TRUE,TRUE
232,1876,MARKET ST,0871 005 01,26,4,32,0,0,0,32,795.53,TRUE,TRUE
233,2160,MARKET ST,3542 014 01,56,4,41,4,15,0,60,1484,TRUE,TRUE
234,2162,MARKET ST,3542 015 01,23,12,28,1,0,6,35,955.85,TRUE,TRUE
235,2306,MARKET ST,3562 001 01,16,0,NA,NA,NA,NA,NA,NA,TRUE,FALSE
236,56,MASON ST,0341 008 01,41,16,0,0,41,16,57,0,TRUE,TRUE
237,111,MASON ST,0331 006 01,13,52,10,40,3,12,65,2079.22,TRUE,TRUE
238,140,MASON ST,0330 014 01,9,66,0,62,9,4,75,0,TRUE,TRUE
239,146,MCALLISTER ST,0348 007 01,11,0,11,0,0,0,11,995,TRUE,TRUE
240,246,MCALLISTER ST,0347 005 01,42,20,42,0,20,0,62,1112.11,TRUE,TRUE
241,45,MCCOPPIN ST,3513 057 01,9,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
242,481,MINNA ST,3725 066 01,49,29,12,0,37,29,78,400,TRUE,FALSE
243,936,MISSION ST,3704 013 01,124,32,NA,NA,NA,NA,NA,NA,FALSE,FALSE
244,948,MISSION ST,3704 017 01,40,16,40,7,0,9,56,584,TRUE,TRUE
245,1018,MISSION ST,3703 081 01,65,2,67,0,0,0,67,680,TRUE,TRUE
246,1288,MISSION ST,3701 022 01,81,24,76,9,3,17,105,768,TRUE,FALSE
247,1906,MISSION ST,3554 002 01,28,3,25,3,3,0,31,2548.14,TRUE,TRUE
248,1941,MISSION ST,3553 022 01,39,19,58,0,5,0,63,600,TRUE,TRUE
249,2030,MISSION ST,3569 004 01,13,24,5,15,8,9,37,920,TRUE,FALSE
250,2032,MISSION ST,3569 005 01,18,4,14,2,4,2,22,750,TRUE,TRUE
251,2042,MISSION ST,3569 007 01,12,0,12,0,0,0,12,927.16,TRUE,TRUE
252,2056,MISSION ST,3569 011 01,20,2,14,0,6,2,22,850,TRUE,TRUE
253,2072,MISSION ST,3569 014 01,16,0,5,0,11,4,20,1500,TRUE,FALSE
254,2084,MISSION ST,3569 015 01,50,0,42,0,8,0,50,570,TRUE,TRUE
255,2126,MISSION ST,3576 004 01,40,0,40,0,0,0,40,350,TRUE,TRUE
256,2135,MISSION ST,3575 038 01,46,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
257,2284,MISSION ST,3589 016 01,10,25,10,11,0,14,35,600,TRUE,TRUE
258,2361,MISSION ST,3595 024 01,64,23,54,21,10,2,87,1e3,TRUE,FALSE
259,2370,MISSION ST,3596 014 01,12,0,12,0,0,0,12,300,TRUE,TRUE
260,2438,MISSION ST,3609 006 01,5,9,4,0,1,9,14,2e3,TRUE,TRUE
261,2477,MISSION ST,3610 020 01,15,0,16,0,0,0,16,630,TRUE,FALSE
262,2697,MISSION ST,3637 020 01,14,10,NA,NA,NA,NA,NA,NA,TRUE,FALSE
263,2766,MISSION ST,3643 008 01,31,0,31,0,0,0,31,800,TRUE,TRUE
264,3308,MISSION ST,6635 001 01,22,6,0,0,22,6,28,0,TRUE,TRUE
265,4796,MISSION ST,6956 036 01,11,0,10,0,0,0,10,776,TRUE,TRUE
266,5060,MISSION ST,6969 012 01,4,15,4,6,0,9,19,1500,TRUE,TRUE
267,515,OCTAVIA ST,0807 003 01,11,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
268,539,OCTAVIA ST,0807 043 01,19,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
269,1916,OCTAVIA ST,0640 011 01,20,0,20,0,0,0,20,1248,TRUE,FALSE
270,190,OFARRELL ST,0314 006 01,60,11,45,1,15,10,71,500,TRUE,TRUE
271,240,OFARRELL ST,0315 010 01,78,51,59,43,19,8,129,932.38,TRUE,TRUE
272,280,OFARRELL ST,0315 015 01,22,0,9,0,13,0,22,780.6,TRUE,TRUE
273,411,OFARRELL ST,0324 001 01,85,35,43,38,42,0,123,941,TRUE,FALSE
274,445,OFARRELL ST,0324 021 01,55,47,NA,NA,NA,NA,NA,NA,FALSE,FALSE
275,505,OFARRELL ST,0323 001 01,75,5,75,5,0,0,80,1603.47,TRUE,TRUE
276,570,OFARRELL ST,0318 012 01,33,5,22,1,11,4,38,1053,TRUE,TRUE
277,579,OFARRELL ST,0323 028 01,19,6,2,0,17,6,25,650,TRUE,FALSE
278,580,OFARRELL ST,0318 013 01,59,11,60,0,0,10,70,1517.28,TRUE,TRUE
279,587,OFARRELL ST,0323 027 01,7,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
280,601,OFARRELL ST,0322 001 01,7,0,7,0,0,0,7,1627.12,TRUE,TRUE
281,608,OFARRELL ST,0319 007 01,26,2,19,2,7,0,28,900,TRUE,TRUE
282,626,OFARRELL ST,0319 008 001,6,7,3,7,3,0,13,610,TRUE,TRUE
283,788,OFARRELL ST,0320 014 01,10,0,10,0,0,0,10,1225,TRUE,TRUE
284,630,PACIFIC AV,0162 006 01,18,0,18,0,0,0,18,200.28,TRUE,TRUE
285,644,PACIFIC AV,0162 008 01,28,0,27,0,1,0,28,498.58,TRUE,TRUE
286,656,PACIFIC AV,0162 009 01,35,0,32,0,0,0,32,430.39,TRUE,FALSE
287,752,PACIFIC AV,0161 013 01,38,0,36,0,0,0,36,544.66,TRUE,FALSE
288,801,PACIFIC AV,0179 001 01,20,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
289,2137,PACIFIC AV,0590 015 01,8,0,8,0,0,0,8,1350,TRUE,TRUE
290,2141,PACIFIC AV,0590 014A 01,8,0,7,0,1,0,8,1082.54,TRUE,TRUE
291,2901,PACIFIC AV,0976 001 01,16,27,9,27,7,0,43,3790.25,TRUE,TRUE
292,1500,PAGE ST,1223 004 01,38,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
293,1880,PAGE ST,1226 017 01,10,0,NA,NA,NA,NA,NA,NA,FALSE,FALSE
294,1890,PAGE ST,1226 018 01,7,0,7,0,0,0,7,1649.41,TRUE,TRUE
295,614,PINE ST,0257 009 01,40,22,37,21,3,1,62,536,TRUE,TRUE
